,name,cid_name,cas_name
104,dithianon,18771,3347-22-6
105,dithiopyr,91757,97886-45-8
106,endosulfan,3224,115-29-7
107,endosulfan sulfate,71312398,1031-07-8
108,endrin,12358480,72-20-8
109,enestroburin,59649244,238410-11-2
110,EPN,16421,2104-64-5
111,epoxiconazole,11067463,133855-98-8
112,ethametsulfuron-methyl,91756,97780-06-8
113,ethion,3286,563-12-2
114,ethirimol,135424354,23947-60-6
115,ethofumesate,33360,26225-79-6
116,ethylenethiourea,2723650,96-45-7
117,ethylicin,229052,682-91-7
118,etofenprox,71245,80844-07-1
119,etoxazole,153974,153233-91-1
120,famoxadone,213032,131807-57-3
121,fenamidone,10403199,161326-34-7
122,fenamiphos,31070,22224-92-6
123,fenarimol,43226,60168-88-9
124,fenazaquin,86356,120928-09-8
125,fenbuconazole,86138,114369-43-6
126,fenhexamid,213031,126833-17-8
127,fenitrothion,31200,122-14-5
128,fenobucarb,19588,3766-81-2
129,fenoprop,7158,93-72-1
130,fenoxanil,11262655,115852-48-7
131,fenoxaprop-P-ethyl,91707,71283-80-2
132,fenoxycarb,51605,79127-80-3
133,fenpropathrin,47326,39515-41-8
134,fenpropidin,91694,67306-00-7
135,fenpropimorph,93365,67564-91-4
136,fenpyroximate,9576412,134098-61-6
137,fensulfothion,8292,115-90-2
138,fenthion,3346,55-38-9
139,fenthion sulfoxide,19577,3761-41-9
140,fenvalerate,3347,51630-58-1
141,fipronil,3352,120068-37-3
142,florasulam,11700495,145701-23-1
143,fluazinam,91731,79622-59-6
144,flubendiamide,11193251,272451-65-7
145,flucythrinate,50980,70124-77-5
146,fludioxonil,86398,131341-86-1
147,flufenoxuron,91766,101463-69-8
148,fluometuron,16562,2164-17-2
149,fluopicolide,11159021,239110-15-7
150,fluopyram,11158353,658066-35-4
151,fluoroglycofen,92395,77501-60-1
152,fluroxypyr,50465,69377-81-7
153,fluroxypyr-meptyl,54745,81406-37-3
154,flurprimidol,73668,56425-91-3
155,flusilazole,73675,85509-19-9
156,flutriafol,91727,76674-21-0
157,fluvalinate,50516,69409-94-5
158,folpet,8607,133-07-3
159,forchlorfenuron,93379,68157-60-8
160,formothion,17345,2540-82-1
161,fosthiazate,91758,98886-44-3
162,glyphosate,3496,1071-83-6
163,halofenozide,114994,112226-61-6
164,halosulfuron-methyl,91763,100784-20-1
165,haloxyfop-P-methyl,13363033,72619-32-0
166,HCH,727,608-73-1
167,heptachlor,3589,76-44-8
168,hexachlorobenzene,8370,118-74-1
169,hexaconazole,66461,79983-71-4
170,hexaflumuron,91741,86479-06-3
171,hexazinone,39965,51235-04-2
172,hymexazol,24781,10004-44-1
173,imazalil,37175,35554-44-0
174,imazapyr,54738,81334-34-1
175,imazaquin,54739,81335-37-7
176,imazethapyr,54740,81335-77-5
177,imidacloprid,86418,138261-41-3
178,imidaclothiz,184601,105843-36-5
179,indoxacarb,107720,173584-44-6
180,iodosulfuron-methyl-sodium,16760189,144550-36-7
181,iprodione,37517,36734-19-7
182,iprovalicarb,10958189,140923-17-7
183,isazofos,39223,42509-80-8
184,isocarbophos,90479,24353-61-5
185,isofenphos,32872,25311-71-1
186,isoprocarb,17517,2631-40-5
187,isoproturon,36679,34123-59-6
188,isoxaben,73672,82558-50-7
189,jasmolin II,12304690,1172-63-0
190,kresoxim-methyl,6112114,143390-89-0
191,lambda-cyhalothrin,6435500,91465-08-6
192,leptophos,30709,21609-90-5
193,lindane,727,58-89-9
194,lufenuron,71777,103055-07-8
195,malathion,4004,121-75-5
196,zineb,5284484,12122-67-7
197,mandipropamid,11292824,374726-62-2
198,maneb,3032581,12427-38-2
199,MCPA,7204,94-74-6
200,mecarbam,17434,2595-54-2
201,mecoprop,7153,7085-19-0
202,mepanipyrim,86296,110235-47-7
203,mepronil,41632,55814-41-0
204,meptyldinocap,5284389,131-72-6
205,mesotrione,175967,104206-82-8
206,metalaxyl,42586,57837-19-1
207,metalaxyl-M,11150163,70630-17-0
208,metaldehyde,61021,108-62-3
209,methamidophos,4096,10265-92-6
210,methidathion,13709,950-37-8
211,methiocarb,16248,2032-65-7
212,methomyl,4109,16752-77-5
213,methoprene,5366546,40596-69-8
214,methoxychlor,4115,72-43-5
215,methoxyfenozide,105010,161050-58-4
216,metolachlor,4169,51218-45-2
217,metsulfuron-methyl,52999,74223-64-6
218,mevinphos,5355863,7786-34-7
219,mexacarbate,9414,315-18-4
220,milbemectin,9828343,51596-10-2
221,monocrotophos,5371562,6923-22-4
222,monosultap,"	23666830",29547-00-0
223,myclobutanil,6336,88671-89-0
224,nicosulfuron,73281,111991-09-4
225,nicotine,89594,54-11-5
226,norflurazon,33775,27314-13-2
227,nornicotine,91462,494-97-3
228,novaluron,93541,116714-46-6
229,oxadiazon,29732,19666-30-9
230,oxamyl,9595287,23135-22-0
231,oxaziclomefone,15604135,153197-14-9
232,oxydemeton-methyl,4618,301-12-2
233,oxyfluorfen,39327,42874-03-3
234,paclobutrazol,158076,76738-62-0
235,parathion,991,56-38-2
236,parathion-methyl,4130,298-00-0
237,penconazole,91693,66246-88-6
238,pencycuron,91692,66063-05-6
239,pendimethalin,38479,40487-42-1
240,penoxsulam,11784975,219714-96-2
241,pentachloroaniline ,10693,527-20-8
242,permethrin,40326,52645-53-1
243,phenazine-1-carboxylic acid,95069,2538-68-3
244,phenothrin,4767,26002-80-2
245,phenthoate,17435,2597-03-7
246,phorate,4790,298-02-2
247,phosalone,4793,2310-17-0
248,phosmet,12901,732-11-6
249,phosphamidon,25750,13171-21-6
250,phoxim,5360460,14816-18-3
251,picloram,15965,1918-02-1
252,piperonyl butoxide,5794,51-03-6
253,pirimicarb,31645,23103-98-2
254,pirimiphos-methyl,34526,29232-93-7
255,prochloraz,73665,67747-09-5
256,procymidone,36242,32809-16-8
257,profenofos,38779,41198-08-7
258,propamocarb hydrochloride,"	15575641",25606-41-1
259,propargite,4936,2312-35-8
260,propiconazole,43234,60207-90-1
261,propineb,3032572,12071-83-9
262,propisochlor,167454,86763-47-5
263,propoxur,4944,114-26-1
264,pymetrozine,9576037,123312-89-0
265,pyraclostrobin,6422843,175013-18-0
266,pyrazophos,26033,13457-18-6
267,pyrethrin I,5281045,121-21-1
268,pyrethrin II,5281555,121-29-9
269,pyribenzoxim,178117,168088-61-7
270,pyridaben,91754,96489-71-3
271,pyridafenthion,8381,119-12-0
272,pyrimethanil,91650,53112-28-0
273,pyrimorph,46220487,868390-90-3
274,pyriproxyfen,91753,95737-68-1
275,pyroxsulam,11571555,422556-08-9
276,quinalphos,26124,13593-03-8
277,quinclorac,91739,84087-01-4
278,quinoxyfen,3391107,124495-18-7
279,quintozene,6720,82-68-8
280,quizalofop-P-tefuryl,86175,119738-06-6
281,quizalofop-ethyl,53518,76578-14-8
282,rimsulfuron,91779,122931-48-0
283,rotenone,6758,83-79-4
284,s-metolachlor,11140605,87392-12-9
285,schradan,9037,152-16-9
286,spiromesifen,9907412,283594-90-1
287,spirotetramat,9969573,203313-25-1
288,spiroxamine,86160,118134-30-8
289,sulfometuron-methyl,52997,74222-97-2
290,sulfosulfuron,86426,141776-32-1
291,sulfotep,19395,3689-24-5
292,sulprofos,37125,35400-43-2
293,tau-fluvalinate,91768,102851-06-9
294,tebuconazole,86102,107534-96-3
295,tebufenozide,91773,112410-23-8
296,tebufenpyrad,86354,119168-77-3
297,teflubenzuron,91734,83121-18-0
298,tepraloxydim,135585373,149979-41-9
299,tetraconazole,80277,112281-77-3
300,tetradifon,8305,116-29-0
301,thiacloprid,115224,111988-49-9
302,thiamethoxam,107646,153719-23-4
303,thidiazuron,40087,51707-55-2
304,thifensulfuron-methyl,73674,79277-27-3
305,thiophanate-methyl,3032791,23564-05-8
306,thiram,5455,137-26-8
307,tolclofos-methyl,91664,57018-04-9
308,tolylfluanid,12898,731-27-1
309,toxaphene,5284469,8001-35-2
310,tralkoxydim,135492483,87820-88-0
311,tralomethrin,9809914,66841-25-6
312,triadimefon,39385,43121-43-3
313,triadimenol,41368,55219-65-3
314,triazophos,32184,24017-47-8
315,tribufos,5125,78-48-8
316,trichlorfon,5853,52-68-6
317,triclopyr,41428,55335-06-3
318,tricyclazole,39040,41814-78-2
319,trifloxystrobin,11664966,141517-21-7
320,triflumuron,47445,64628-44-0
321,trifluralin,5569,1582-09-8
322,triflusulfuron,86416,135990-29-3
323,triforine,33565,26644-46-2
324,vinclozolin,39676,50471-44-8
325,ziram,8722,137-30-4
326,bromomethane,6323,74-83-9
327,chlordane,11954021,57-74-9
328,cycloprate,41093,54460-46-7
329,demeton,24722,8065-48-3
330,dioctyldiethylenetriamine,93665,57413-95-3
331,monosodium methylarsonate,23664719,2163-80-6
332,tralocythrin,163130,66841-26-7
333,pyrethrins,71310221,8003-34-7
334,probenazole,91587,27605-76-1
335,mancozeb,13307026,8018-01-7
336,esfenvalerate,10342051,66230-04-4
337,emamectin benzoate,11650986,155569-91-8
338,azadirachtin,5281303,11141-17-6
339,dodine,17110,2439-10-3
340,abamectin,254761708,71751-41-2
341,spinosad,312629853,168316-95-8
